DATE,TITLE,VENUE,TOSS WINNER,TEAM_A,TEAM_A_SCORE,TEAM_B,TEAM_B_SCORE,TEAM WON,PLAYER OF THE MATCH,PLAYER OF THE MATCH SCORE
Saturday 29th June 2024,"ICC Men's T20 World Cup, 2024 - Final","Kensington Oval, Bridgetown, Barbados","TOSS
India elected to bat",SOUTH AFRICA,169/8 (20.0),INDIA,176/7 (20.0),India beat South Africa by 7 runs,Virat KOHLI,"76
(59)"
Thursday 27th June 2024,"ICC Men's T20 World Cup, 2024 - 2nd Semi-Final","Guyana National Stadium, Guyana","TOSS
England elected to field",INDIA,171/7 (20.0),ENGLAND,103 (16.4),India beat England by 68 runs,Axar PATEL,"10
(6)
&
3/23
(4)"
Thursday 27th June 2024,"ICC Men's T20 World Cup, 2024 - 1st Semi-Final","Brian Lara Cricket Academy, Tarouba, Trinidad and Tobago","TOSS
Afghanistan elected to bat",SOUTH AFRICA,60/1 (8.5),AFGHANISTAN,56 (11.5),South Africa beat Afghanistan by 9 wickets,Marco JANSEN,"3/16
(3)"
Tuesday 25th June 2024,"ICC Men's T20 World Cup, 2024 - Super Eight - Match 12","Arnos Vale Ground, Arnos Vale, St Vincent","TOSS
Afghanistan elected to bat",AFGHANISTAN,115/5 (20.0),BANGLADESH,105 (17.5),Afghanistan beat Bangladesh by 8 runs (DLS method),Naveen-ul-Haq ,"4/26
(3.5)"
Monday 24th June 2024,"ICC Men's T20 World Cup, 2024 - Super Eight - Match 10","Sir Vivian Richards Stadium, North Sound, Antigua","TOSS
South Africa elected to field",WEST INDIES,135/8 (20.0),SOUTH AFRICA,124/7 (16.1),South Africa beat West Indies by 3 wickets (DLS method),Tabraiz SHAMSI,"3/27
(4)"
Monday 24th June 2024,"ICC Men's T20 World Cup, 2024 - Super Eight - Match 11","Daren Sammy National Cricket Stadium, Gros Islet, St Lucia","TOSS
Australia elected to field",AUSTRALIA,181/7 (20.0),INDIA,205/5 (20.0),India beat Australia by 24 runs,Rohit SHARMA,"92
(41)"
Sunday 23rd June 2024,"ICC Men's T20 World Cup, 2024 - Super Eight - Match 8","Arnos Vale Ground, Arnos Vale, St Vincent","TOSS
Australia elected to field",AFGHANISTAN,148/6 (20.0),AUSTRALIA,127 (19.2),Afghanistan beat Australia by 21 runs,Gulbadin NAIB,"0
(1)
&
4/20
(4)"
Sunday 23rd June 2024,"ICC Men's T20 World Cup, 2024 - Super Eight - Match 9","Kensington Oval, Bridgetown, Barbados","TOSS
England elected to field",USA,115 (18.5),ENGLAND,117/0 (9.4),England beat USA by 10 wickets,Adil RASHID,"2/13
(4)"
Saturday 22nd June 2024,"ICC Men's T20 World Cup, 2024 - Super Eight - Match 6","Kensington Oval, Bridgetown, Barbados","TOSS
West Indies elected to field",USA,128 (19.5),WEST INDIES,130/1 (10.5),West Indies beat USA by 9 wickets,Roston CHASE,"3/19
(4)"
Saturday 22nd June 2024,"ICC Men's T20 World Cup, 2024 - Super Eight - Match 7","Sir Vivian Richards Stadium, North Sound, Antigua","TOSS
Bangladesh elected to field",INDIA,196/5 (20.0),BANGLADESH,146/8 (20.0),India beat Bangladesh by 50 runs,Hardik PANDYA,"50
(27)
&
1/32
(3)"
